crater_id,lat,lon,diam_km,diam_major_km,diam_minor_km,eccentricity,ellipticity,rim_arc_fraction
01-1-000523,66.2343,108.825,17.2988,17.7711,16.8021,0.325696,1.05767,1
01-1-000524,61.1095,105.87,22.4715,23.8019,21.178,0.45643,1.1239,0.961186
01-1-000525,64.119,103.197,48.0792,49.8027,46.3053,0.36813,1.07553,1
01-1-000526,63.4154,102.473,14.3773,14.705,14.0066,0.304524,1.04986,1
01-1-000527,67.7109,104.545,16.4665,16.9751,15.9582,0.340909,1.06372,1
01-1-000528,69.8231,107.643,15.8295,16.1237,15.4954,0.276435,1.04055,1
01-1-000529,71.4352,110.239,14.6289,15.1794,14.0648,0.376123,1.07925,1
01-1-000530,77.055,118.068,16.0126,16.085,15.9374,0.135201,1.00927,0.802879
01-1-000531,77.9385,119.869,10.0094,10.1693,9.84719,0.249679,1.03271,1
01-1-000532,79.4302,129.728,14.201,14.8566,13.793,0.371563,1.07711,0.439467
01-1-000533,79.8142,130.423,12.2281,12.9183,11.6746,0.428124,1.10654,0.732592
01-1-000534,80.349,132.841,12.8212,13.5043,11.7082,0.498305,1.1534,0.82039
01-1-000535,79.7283,125.775,9.76226,10.1418,9.29685,0.399618,1.09089,1
01-1-000536,80.3329,126.069,14.8757,16.6829,14.3722,0.507764,1.16077,0.757779
01-1-000537,80.2842,128.531,9.8838,9.89612,9.82961,0.115738,1.00677,0.723528
01-1-000538,81.1408,137.665,10.7307,11.2286,10.5523,0.341788,1.06408,0.745259
01-1-000539,81.2503,140.002,9.13184,9.54516,8.79917,0.387558,1.08478,0.87805
01-1-000540,80.0124,131.591,13.6809,15.6629,11.6371,0.669322,1.34595,0.74943
01-1-000541,82.4519,145.634,9.58456,9.98203,9.17846,0.393094,1.08755,0.979485
01-1-000542,82.6452,156.988,14.5075,15.0282,13.9568,0.370817,1.07677,0.981949
01-1-000543,83.169,161.332,33.7077,34.7341,31.6135,0.414257,1.09871,0.713735
01-1-000544,82.4413,-140.717,12.9764,13.3503,12.1894,0.40786,1.09524,0.788268
01-1-000545,81.6023,-135.961,11.9413,12.453,11.4052,0.40151,1.09188,1
01-1-000546,81.125,-129.038,12.3417,13.2955,11.5491,0.495424,1.15121,0.901699
01-1-000547,78.563,-121.148,11.4198,11.8781,10.9296,0.391567,1.08678,1
01-1-000548,77.2072,-118.657,10.2931,12.4827,9.744,0.625029,1.28106,0.754015
01-1-000550,72.6732,-111.89,8.73587,9.34528,8.33391,0.452473,1.12136,0.837171
01-1-000551,71.7665,-110.933,9.36906,10.4917,8.46017,0.591411,1.24012,0.865657
01-1-000552,70.5951,-110.607,11.5959,11.9081,11.043,0.374191,1.07834,0.731009
01-1-000553,70.9913,-109.944,22.858,24.3534,21.8646,0.440394,1.11383,0.850029
01-1-000554,69.0682,-108.143,13.6137,14.6559,12.6053,0.510158,1.16268,0.840336
01-1-000555,68.3436,-107.712,18.842,19.4455,18.1811,0.354706,1.06954,0.914163
01-1-000556,69.4383,-105.717,25.9923,26.4407,25.5643,0.255326,1.03428,0.900018
01-1-000557,66.7734,-105.444,45.2512,46.4737,43.9989,0.321975,1.05625,1
01-1-000558,65.8334,-103.779,28.6277,29.1561,27.7253,0.309421,1.05161,0.82448
01-1-000559,66.7481,-102.532,23.2776,23.4792,22.9513,0.210872,1.023,0.864103
01-1-000560,64.5337,-104.628,13.956,14.1646,13.7836,0.230384,1.02764,0.801017
01-1-000561,63.0977,-104.575,22.3527,23.1027,21.6031,0.354409,1.06942,1
01-1-000562,62.499,-102.368,59.181,59.8546,58.4486,0.215479,1.02406,0.899267
