crater_id,lat,lon,diameter_km,depth_km,depth_diameter_ratio
2624,-1.2013,-179.1052,18.992,1.4189,0.0747
2631,-2.5308,-179.1036,16.826,0.9884,0.0587
2652,61.597,-179.0972,10.596,1.307,0.1233
2668,46.0133,-179.094,10.116,0.9419,0.0931
2680,63.0323,-179.0917,18.692,1.9498,0.1043
2698,-59.5247,-179.086,13.254,0.9826,0.0741
2721,52.9303,-179.08,13.564,0.2498,0.0184
2722,-4.293,-179.08,69.629,2.4385,0.035
2747,41.111,-179.073,11.784,1.0733,0.0911
2771,23.7126,-179.067,11.389,1.233,0.1083
2809,28.8041,-179.0552,13.897,0.7628,0.0549
2901,54.017,-179.028,12.506,1.5258,0.122
2902,0.4713,-179.028,30.518,1.5,0.0492
2928,49.5007,-179.021,13.457,1.691,0.1257
2937,3.4501,-179.019,12.604,1.8854,0.1496
2941,20.9843,-179.017,11.083,1.5468,0.1396
2997,10.4917,-179.003,12.54,1.3233,0.1055
3121,7.5397,-178.972,12.741,1.0553,0.0828
3150,-3.4992,-178.9667,15.682,0.6205,0.0396
3167,29.8006,-178.9617,23.675,3.6159,0.1527
3241,-46.0641,-178.941,12.0,0.691,0.0576
3268,20.4223,-178.9335,15.766,0.979,0.0621
3389,23.6097,-178.9,11.234,1.075,0.0957
3391,-6.0413,-178.8992,13.867,0.9115,0.0657
3434,25.768,-178.889,12.576,2.3328,0.1855
3442,52.8422,-178.8868,22.273,1.9244,0.0864
3478,46.9241,-178.88,10.848,0.4313,0.0398
3494,7.1627,-178.8777,11.21,0.5363,0.0478
3559,42.2258,-178.8606,26.032,2.8483,0.1094
3609,55.1202,-178.8477,19.514,1.6245,0.0832
3618,7.9548,-178.8457,16.598,0.522,0.0314
3641,9.53,-178.84,14.506,2.0221,0.1394
3665,-7.5946,-178.8338,16.271,1.2438,0.0764
3706,8.7392,-178.8265,25.736,2.697,0.1048
3753,-21.1742,-178.815,10.388,0.7204,0.0694
3782,-12.0054,-178.81,10.99,1.2183,0.1109
3789,44.4149,-178.807,11.025,0.567,0.0514
3827,-7.7599,-178.7953,23.638,1.1863,0.0502
3831,41.4113,-178.795,10.637,0.8026,0.0755
3941,1.5269,-178.7669,17.39,0.2083,0.012
3958,-55.7934,-178.7611,10.113,0.2965,0.0293
4024,19.3682,-178.741,18.483,1.404,0.076
4098,1.8792,-178.7214,12.128,0.7541,0.0622
4107,-10.0477,-178.7206,10.617,0.5031,0.0474
4123,-8.7416,-178.7172,26.527,1.502,0.0566
4189,-29.3933,-178.7,121.7,4.7338,0.0389
4196,-61.2705,-178.6982,16.535,1.8143,0.1097
4214,-16.5279,-178.692,56.607,2.6113,0.0461
4272,37.1701,-178.68,13.089,1.304,0.0996
4284,-3.9836,-178.679,11.86,0.3706,0.0312
4332,38.2049,-178.6644,15.218,1.0838,0.0712
4402,-77.2192,-178.642,14.575,1.5405,0.1057
4424,-47.1137,-178.638,13.624,2.4719,0.1814
4445,-17.8259,-178.633,12.059,1.186,0.0983
4482,-66.7509,-178.6241,10.242,0.5806,0.0567
4528,4.4861,-178.612,25.007,1.2941,0.0517
4557,45.5684,-178.6049,21.393,1.0446,0.0488
4562,55.5624,-178.603,11.751,0.812,0.0691
4589,16.7744,-178.5968,12.056,0.6713,0.0557
4590,24.7877,-178.5963,25.286,3.3175,0.1312
4593,-8.2061,-178.5946,25.935,2.9329,0.1131
4598,-51.3638,-178.594,12.694,1.1659,0.0918
4643,53.443,-178.5835,17.775,3.1346,0.1763
4646,-15.371,-178.5825,62.651,1.9235,0.0307
4700,-12.2808,-178.5693,10.341,0.6245,0.0604
4706,39.2505,-178.5671,19.531,1.3233,0.0678
4741,38.5746,-178.5579,16.135,1.1723,0.0727
4765,52.7987,-178.552,13.076,1.6781,0.1283
4766,-6.1283,-178.5519,10.567,0.7648,0.0724
4788,44.8325,-178.5458,24.674,1.6238,0.0658
4808,-22.8743,-178.54,10.973,1.0143,0.0924
4809,59.0527,-178.5399,26.658,1.91,0.0716
4821,-15.0924,-178.537,10.106,0.7586,0.0751
4840,43.9601,-178.5311,21.971,1.2631,0.0575
4850,22.0447,-178.528,21.801,3.3794,0.155
4859,49.3611,-178.5245,15.132,0.9668,0.0639
4866,14.4766,-178.523,10.314,1.1953,0.1159
4882,63.2199,-178.5196,26.985,2.3724,0.0879
4916,-22.3764,-178.511,17.076,1.0908,0.0639
4954,16.8138,-178.5024,10.939,0.5705,0.0522
5001,-51.9778,-178.491,18.432,1.454,0.0789
5003,28.7917,-178.491,12.698,0.8569,0.0675
5083,-72.4897,-178.4681,21.127,1.1565,0.0547
5118,75.9444,-178.4561,11.046,0.6179,0.0559
5119,66.1067,-178.455,10.559,0.5016,0.0475
5150,0.4764,-178.446,11.536,2.3184,0.201
5184,-2.7073,-178.4386,23.957,1.9825,0.0828
5219,-16.6704,-178.4272,11.168,1.535,0.1374
5267,-20.5354,-178.413,13.771,2.5114,0.1824
5279,-10.5386,-178.4102,26.514,3.3493,0.1263
5306,5.3614,-178.401,10.156,0.7108,0.07
5465,-7.274,-178.3584,12.942,0.5356,0.0414
5492,19.62,-178.35,13.188,0.7205,0.0546
5511,51.4431,-178.3445,35.424,2.5,0.0706
5544,43.6131,-178.3368,15.732,2.2849,0.1452
5597,-6.6148,-178.3219,15.108,0.8733,0.0578
5737,27.8219,-178.284,11.175,0.7405,0.0663
5805,67.2881,-178.27,11.879,1.7571,0.1479
5814,24.0323,-178.268,12.135,1.1553,0.0952
5821,9.3344,-178.2664,24.004,1.5723,0.0655
5874,39.9639,-178.2529,31.082,2.7556,0.0887
5913,-51.0745,-178.2395,12.894,0.9284,0.072
