age_Ga,N_ge_1km_per_Mkm2,N_ge_8km_per_Mkm2,N_ge_20km_per_Mkm2
0.5,419,3.0,1.0
1.0,838,6.0,2.0
1.5,1257,9.0,3.0
2.0,1676,12.0,4.0
2.5,2097,15.0,5.0
3.0,2572,18.4,6.13
3.2,2914,20.8,6.95
3.4,3779,27.0,9.01
3.5,4793,34.3,11.43
3.6,6735,48.2,16.06
3.7,10537,75.4,25.12
3.8,18054,129.1,43.04
3.9,33004,236.1,78.68
4.0,62814,449.3,149.75
4.1,122343,875.1,291.67
4.2,241299,1725.9,575.26
4.3,479092,3426.8,1142.16
