Flags_data,ID,Lat,Lon,Diam_km,Age
CE1,673,11.1981,-117.932,17.48954992,5
CE1,674,3.31955,127.446,17.48144663,5
CE1,675,-45.1863,169.323,17.47916403,5
CE1,676,28.8151,81.8036,17.47815481,5
CE1,677,-27.1495,73.5944,17.4768844,5
CE1,678,26.3182,70.8702,17.47583813,2
CE1,679,41.5837,-134.602,17.47205919,3
CE1,680,39.9052,-115.481,17.46106602,5
CE1,681,27.527,129.621,17.45963932,2
CE1,682,19.7174,107.252,17.4465963,5
CE1,683,-14.6127,-23.567,17.44449501,5
CE1,684,44.269,-105.261,17.44339977,2
CE1,685,-23.4029,145.379,17.43852234,5
CE1,686,-17.5767,-158.199,17.43633506,2
CE1,687,-43.6329,-104.364,17.43610497,2
CE1,688,40.3846,-75.469,17.43408083,5
CE1,689,33.6026,27.5844,17.41736365,4
CE1,690,26.3712,178.131,17.41481896,5
CE1,691,-50.2858,-34.06,17.41338928,3
CE1,692,59.1297,157.175,17.40378326,3
CE1,693,-33.7884,56.0046,17.39325919,5
CE1,694,-34.3028,26.8532,17.37752758,2
CE1,695,-41.6585,-147.157,17.36869026,2
CE1,696,-28.174,-68.584,17.36629833,2
CE1,697,2.84325,-124.477,17.36195291,5
CE1,698,-52.8092,5.84277,17.35773481,2
CE1,699,-7.59737,172.496,17.35748104,5
CE1,700,-22.1758,171.784,17.35177421,2
CE1,701,44.1135,89.3636,17.35031347,2
CE1,702,-35.5846,-50.179,17.34579392,4
CE1,703,19.5515,79.8035,17.34450178,5
CE1,704,27.5621,134.93,17.34247653,5
CE1,705,20.1687,163.373,17.34204456,5
CE1,706,-47.817,99.8216,17.33780986,5
CE1,707,-39.5616,-95.426,17.33653126,4
CE1,708,-46.5357,-107.659,17.33233377,3
CE1,709,52.0197,78.1283,17.31939003,5
CE1,710,64.4658,-179.329,17.3190117,2
CE1,711,6.96347,-127.914,17.31754533,5
CE1,712,-58.2106,-30.827,17.31559282,2
CE1,713,-34.94,103.473,17.31305764,1
CE1,714,14.2978,150.857,17.30652768,5
CE1,715,-41.8974,-111.683,17.30397046,2
CE1,716,13.1471,-87.445,17.29595488,5
CE1,717,18.343,-171.596,17.2913683,5
CE1,718,-22.2076,48.8387,17.28916032,5
CE1,719,-24.8545,-4.476,17.28651024,2
CE1,720,9.25459,117.574,17.28191368,5
CE1,721,17.7927,-166.196,17.28164269,5
CE1,722,25.7291,-156.809,17.27679084,5
CE1,723,-40.9118,64.0915,17.26681959,2
CE1,724,27.7245,-168.38,17.26521603,2
CE1,725,34.3537,-97.589,17.26508369,2
CE1,726,-11.0051,-162.134,17.2579989,5
CE1,727,-16.8782,-168.805,17.254669,5
CE1,728,-56.0513,42.6926,17.25105983,2
CE1,729,-52.1929,107.448,17.2475552,2
CE1,730,1.75618,-149.081,17.24687217,5
CE1,731,1.67763,159.667,17.24644828,5
CE1,732,-5.39402,-71.325,17.24414318,3
CE1,733,-20.5981,113.114,17.24310805,5
CE1,734,-26.5749,-143.958,17.23705085,5
CE1,735,-44.5128,153.031,17.23565384,2
CE1,736,-28.3541,-165.609,17.23481058,2
CE1,737,-9.02738,39.9202,17.23362654,5
CE1,738,36.2461,137.945,17.22886396,5
CE1,739,41.216,110.941,17.22717073,5
CE1,740,-59.1603,25.5654,17.21880704,3
CE1,741,-29.345,35.3521,17.21414004,2
CE1,742,-30.1272,-31.704,17.21262649,5
CE1,743,8.02292,-71.38,17.21114948,2
CE1,744,-45.7494,-130.398,17.20858039,2
CE1,745,9.51959,178.548,17.20757199,5
CE1,746,47.7134,96.4387,17.20673035,5
CE1,747,42.6068,-151.641,17.19232344,2
CE1,748,-48.6734,7.73311,17.19214377,2
CE1,749,-8.60271,166.724,17.1905322,5
CE1,750,-40.0424,-142.479,17.18555825,2
CE1,751,10.7873,-112.469,17.18385007,5
CE1,752,-48.4043,91.5045,17.18346998,2
CE1,753,48.1537,158.15,17.17764214,2
CE1,754,23.2876,-174.176,17.17637563,5
CE1,755,2.63386,111.606,17.17239269,5
CE1,756,22.1274,129.127,17.17194262,5
CE1,757,32.9327,-110.753,17.17136248,5
CE1,758,25.6271,-141.845,17.1691084,5
CE1,759,45.157,81.1576,17.16724704,5
CE1,760,54.1238,128.843,17.16691221,2
CE1,761,-37.9641,-4.103,17.16572582,4
CE1,762,-38.371,-148.901,17.16463317,3
CE1,763,42.8462,130.889,17.160201,2
CE1,764,-31.4238,-61.578,17.15090418,3
CE1,765,6.09029,80.9037,17.15020893,2
CE1,766,-4.2699,-148.451,17.1454378,5
CE1,767,57.9634,168.862,17.14314214,3
CE1,768,45.6241,149.005,17.14238984,2
CE1,769,42.4419,122.471,17.13916117,2
CE1,770,-35.7587,-15.415,17.13910585,3
CE1,771,-46.6505,-56.805,17.13317184,2
CE1,772,-8.49421,13.1784,17.12755809,2
CE1,773,54.1954,145.871,17.11761172,2
CE1,774,-46.3689,152.251,17.11577679,5
CE1,775,51.6373,-176.329,17.11261815,2
